year,symbol,beta,n_obs
2019,600036,0.7781487353828982,243
2019,600519,0.9666140534262668,243
2019,002475,1.4213159587894522,243
2019,600276,0.8618844649153572,243
2019,601088,0.46087392584062314,243
2020,600036,0.8002130962803372,243
2020,600519,0.8365246978150462,243
2020,002475,1.414045070637901,243
2020,600276,0.6982569144321176,243
2020,601088,0.42770920773471566,243
2021,600036,0.929800563622884,243
2021,600519,1.2922395352283031,243
2021,002475,1.2731907630789134,243
2021,600276,1.0212280262685993,243
2021,601088,0.13080226673365575,243
2022,600036,1.0308580144320156,242
2022,600519,1.0305571792309876,242
2022,002475,1.3358653159795764,242
2022,600276,0.9656241412738362,242
2022,601088,0.3520916183472216,242
2023,600036,0.9140238621446531,242
2023,600519,0.9088624030733576,242
2023,002475,1.1098453870098195,242
2023,600276,0.7899376309946842,242
2023,601088,0.2360680809646002,242
2024,600036,0.5814882094324607,242
2024,600519,0.8179663975330002,242
2024,002475,1.1268680919237344,242
2024,600276,0.984737756340548,242
2024,601088,0.1781312161965839,242
